"","country_code","age","gender","rural","dem_education_level","dem_full_time_job","dem_has_children","awareness","vote","effect","age_group","pro_anxiety","pro_equality","pro_indep","pro_solidarity","pro_bureau","pro_volunteer","pro_none","con_expensive","con_stopworking","con_foreigners","con_merit","con_need","con_dependence","con_none","pro_count","con_count"
"6168","HU",20,"female","urban","low","no","yes","I have heard just a little about it","I would not vote","‰Û_ gain additional skills","14_25",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1
"6169","HU",58,"female","urban","high","no","yes","I have heard just a little about it","I would vote against it","‰Û_ work less","40_65",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,6
"6170","HU",48,"male","urban","high","yes","yes","I know something about it","I would probably vote against it","A basic income would not affect my work choices","40_65",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,5
"6171","HU",36,"female","rural","medium","yes","yes","I have never heard of it","I would not vote","None of the above","26_39",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0
"6172","HU",65,"female","urban","medium","no","yes","I have heard just a little about it","I would probably vote for it","A basic income would not affect my work choices","40_65",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3,4
"6173","HU",19,"male","urban","low","yes","no","I know something about it","I would vote for it","‰Û_ spend more time with my family","14_25",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1
"6174","HU",30,"female","rural",NA,"yes","no","I have heard just a little about it","I would probably vote against it","None of the above","26_39",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0,3
"6175","HU",26,"female","rural","high","yes","no","I have never heard of it","I would not vote","None of the above","26_39",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0
"6176","HU",28,"male","rural","medium","yes","no","I have heard just a little about it","I would probably vote against it","A basic income would not affect my work choices","26_39",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,3
"6177","HU",23,"female","rural","low","no","yes","I have heard just a little about it","I would vote for it","‰Û_ spend more time with my family","14_25",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1
"6178","HU",38,"female","urban","high","yes","yes","I have never heard of it","I would probably vote for it","‰Û_ gain additional skills","26_39",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,2
"6179","HU",37,"male","rural","low","yes","yes","I understand it fully","I would probably vote for it","A basic income would not affect my work choices","26_39",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
"6180","HU",39,"female","urban","high","yes","yes","I know something about it","I would probably vote against it","‰Û_ look for a different job","26_39",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,2
"6181","HU",15,"female","urban",NA,"no","no","I have heard just a little about it","I would not vote","‰Û_ look for a different job","14_25",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1
